,Episode Length,Episode Length (seconds),Cumulative Pairwise Action Distance,Hit Obstacle
0,1200,30.0,11.642221882620282,0
1,1200,30.0,12.178627270409105,0
2,1200,30.0,11.854018252065293,0
3,1200,30.0,9.872895819633843,0
4,1200,30.0,11.13361868710341,0
5,1200,30.0,10.120429062823797,0
6,496,12.4,7.1520533434679265,0
7,1200,30.0,11.649790607933774,0
8,186,4.65,4.096139105354232,0
9,1200,30.0,10.97660515757837,0
10,1200,30.0,11.338904937261047,0
11,1200,30.0,14.836740126842598,0
12,1200,30.0,13.852421244454634,0
13,1200,30.0,11.512967417384024,0
14,1200,30.0,9.394549580428665,0
15,1200,30.0,11.88514438606933,0
16,1200,30.0,12.580544173144233,0
17,1200,30.0,12.248813325177816,0
18,1200,30.0,11.63447176919184,0
19,1200,30.0,11.111420504447981,0
20,74,1.85,0.0,1
21,1200,30.0,11.970538513063602,0
22,1200,30.0,12.588584544152406,0
23,22,0.55,0.0,1
24,1200,30.0,11.954492772173356,0
25,1200,30.0,12.035412715769597,0
26,1200,30.0,11.0145560066676,0
27,1200,30.0,12.26977007648701,0
28,1200,30.0,11.809249748130721,0
29,1200,30.0,11.944124542891382,0
30,1200,30.0,10.819955895980414,0
31,1200,30.0,12.015588095371001,0
32,1200,30.0,10.1206349003791,0
33,1200,30.0,13.349297535291853,0
34,1200,30.0,11.262819273952756,0
35,1200,30.0,10.437377615219644,0
36,1200,30.0,11.030170807263216,0
37,1200,30.0,10.687339680970872,0
38,1200,30.0,11.06680999738156,0
39,1200,30.0,12.002216237309346,0
40,1200,30.0,9.248256540654314,0
41,1200,30.0,12.842226337169555,0
42,1200,30.0,10.485126657899078,0
43,1099,27.475,11.396696084981901,0
44,1200,30.0,11.96483849734888,0
45,1200,30.0,11.742474479519979,0
46,1200,30.0,10.232078682776399,0
47,1200,30.0,8.400578103542749,0
48,1200,30.0,10.149195694185499,0
49,1200,30.0,10.749290254404054,0
50,1200,30.0,10.65918527768954,0
51,1200,30.0,11.746231529270739,0
52,65,1.625,0.0,1
53,1200,30.0,10.880106081376557,0
54,1200,30.0,12.541018339986046,0
55,20,0.5,0.0,1
56,1200,30.0,10.919346539958003,0
57,1200,30.0,11.278071659374724,0
58,1200,30.0,11.66290213170767,0
59,1200,30.0,11.884550970655553,0
60,1200,30.0,11.213780031635807,0
61,1,0.025,0.0,1
62,1200,30.0,9.84961871503881,0
63,1200,30.0,10.940792726752088,0
64,1200,30.0,11.123525000468453,0
65,1200,30.0,12.190445933261568,0
66,1200,30.0,10.664959277673795,0
67,1200,30.0,12.27256972275593,0
68,1200,30.0,11.945558485220202,0
69,47,1.175,0.0,1
70,1200,30.0,10.790574096242308,0
71,1200,30.0,11.606001129406181,0
72,1200,30.0,11.443089567208046,0
73,82,2.0500000000000003,0.0,1
74,1200,30.0,10.183417704623333,0
75,1200,30.0,12.069577640841619,0
76,1200,30.0,13.156920985155347,0
77,1200,30.0,10.461062028165864,0
78,1200,30.0,11.016449473751539,0
79,64,1.6,0.0,1
80,1200,30.0,8.537412517153193,0
81,1200,30.0,12.994539987875077,0
82,1200,30.0,11.125091925664847,0
83,1200,30.0,9.75873743775019,0
84,1200,30.0,10.936669150086782,0
85,1200,30.0,9.203060944509167,0
86,1200,30.0,10.8154402256631,0
87,1200,30.0,9.068636264658087,0
88,48,1.2000000000000002,0.0,1
89,1200,30.0,11.939940487895147,0
90,1200,30.0,11.121900415254414,0
91,1200,30.0,11.512566427876473,0
92,1200,30.0,12.756289901370929,0
93,1200,30.0,9.726063685110061,0
94,1200,30.0,12.131144345630638,0
95,1200,30.0,12.987137737372967,0
96,1200,30.0,8.767926641772513,0
97,1200,30.0,11.899630785596583,0
98,1168,29.200000000000003,11.77831245947363,0
99,1200,30.0,10.892458248315515,0
100,1200,30.0,11.402724609879145,0
101,1200,30.0,12.706825483180067,0
102,1200,30.0,10.666307288492428,0
103,1200,30.0,10.875997328610879,0
104,1200,30.0,15.819002611725784,0
105,1200,30.0,12.801614142817023,0
106,1200,30.0,13.432919908387825,0
107,1200,30.0,12.564506287925218,0
108,1200,30.0,11.516204261669758,0
109,1200,30.0,11.355646233171907,0
110,1200,30.0,12.739809464045761,0
111,1200,30.0,14.952619590740408,0
112,1200,30.0,12.384085918300661,0
113,1200,30.0,11.131933752515268,0
114,1200,30.0,12.5320141278026,0
115,1200,30.0,12.94920876210691,0
116,1200,30.0,10.7499670950595,0
117,1200,30.0,13.5716625486508,0
118,1200,30.0,12.52705857037683,0
119,74,1.85,0.0,1
120,1200,30.0,11.540037584999384,0
121,1200,30.0,9.725915175695086,0
122,1200,30.0,12.158173200493467,0
123,1200,30.0,9.993006481896726,0
124,1200,30.0,9.992415445732341,0
125,1200,30.0,11.925235595935689,0
126,1,0.025,0.0,1
127,1200,30.0,9.664261985002653,0
128,1200,30.0,10.627029356224071,0
129,1200,30.0,11.837093461984017,0
130,1200,30.0,12.551512864041161,0
131,1200,30.0,9.760282786596873,0
132,1200,30.0,13.372830682030749,0
133,1200,30.0,10.064450002898171,0
134,1200,30.0,12.203378054603268,0
135,307,7.675000000000001,6.001310437844067,0
136,1200,30.0,11.156941888484708,0
137,1200,30.0,10.735151223012334,0
138,1200,30.0,8.018762474385236,0
139,1,0.025,0.0,1
140,1200,30.0,13.374679813290689,0
141,1200,30.0,12.153977315672105,0
142,1200,30.0,11.106787510020421,0
143,1110,27.75,10.78362397181169,0
144,1200,30.0,11.946084572742219,0
145,1200,30.0,13.319472004192075,0
146,1200,30.0,11.643666555462424,0
147,1200,30.0,10.315584471887886,0
148,1200,30.0,12.793947459359007,0
149,1200,30.0,10.607341410073822,0
150,1200,30.0,11.052154163674162,0
151,518,12.950000000000001,8.528306800234112,0
152,1200,30.0,12.721850619902604,0
153,1200,30.0,13.608870467904156,0
154,1200,30.0,14.685496162981199,0
155,421,10.525,7.221322372187958,0
156,1200,30.0,12.821434649270902,0
157,1105,27.625,13.636401089022126,0
158,56,1.4000000000000001,0.0,1
159,1200,30.0,12.51284900397148,0
160,1200,30.0,11.161538955732198,0
161,1200,30.0,13.663294108603825,0
162,1059,26.475,10.39633965964191,0
163,680,17.0,9.502768078761523,0
164,1200,30.0,10.572016627196136,0
165,1200,30.0,11.5370856202028,0
166,1200,30.0,10.598459698955496,0
167,1200,30.0,10.926253186984464,0
168,1200,30.0,10.418256315652712,0
169,1200,30.0,12.92242036626388,0
170,1200,30.0,10.026973727203831,0
171,1200,30.0,13.485462200255954,0
172,148,3.7,4.39795880038577,0
173,1200,30.0,11.33899789611968,0
174,256,6.4,4.208719104961564,0
175,1200,30.0,10.409083446602999,0
176,1200,30.0,11.050070685312336,0
177,1200,30.0,9.605970734693104,0
178,1200,30.0,12.15657119933689,0
179,1200,30.0,10.665484742076284,0
180,1200,30.0,10.653615475893444,0
181,1200,30.0,11.420836026765656,0
182,1200,30.0,10.144265351764837,0
183,1200,30.0,10.786593821429145,0
184,1200,30.0,10.733965110203373,0
185,1200,30.0,11.882142461021488,0
186,1200,30.0,10.16332706814979,0
187,1200,30.0,9.199669410973023,0
188,1200,30.0,11.137299012516149,0
189,1200,30.0,10.899101616674152,0
190,1200,30.0,10.980260288958705,0
191,1200,30.0,8.743052655882277,0
192,1200,30.0,12.741126300365938,0
193,1200,30.0,10.3297164035718,0
194,1200,30.0,10.613851698525753,0
195,1200,30.0,11.985753291399117,0
196,60,1.5,0.0,1
197,1200,30.0,11.80971421188024,0
198,1200,30.0,11.003885785938392,0
199,1200,30.0,11.877322546348797,0
200,1200,30.0,12.247606894352696,0
201,1200,30.0,10.040716560067878,0
202,910,22.75,9.637986713779181,0
203,1200,30.0,8.777014940188472,0
204,1200,30.0,9.514895021988437,0
205,643,16.075,9.034472198633562,0
206,1200,30.0,11.713943220181944,0
207,1200,30.0,11.849271171154324,0
208,1200,30.0,12.162832644806167,0
209,1200,30.0,13.263365159853212,0
210,1200,30.0,9.96367997496432,0
211,1200,30.0,11.655983561002188,0
212,1200,30.0,10.012457544015593,0
213,1200,30.0,11.897859754173723,0
214,1200,30.0,8.538360261754974,0
215,1200,30.0,10.998888203295708,0
216,1200,30.0,10.505328973260541,0
217,1200,30.0,11.16056247958499,0
218,1200,30.0,11.120779550446297,0
219,1200,30.0,12.005824032542527,0
220,1200,30.0,12.683195950939199,0
221,1200,30.0,12.397190628205536,0
222,1200,30.0,9.175449135103506,0
223,1200,30.0,11.861425038925438,0
224,279,6.9750000000000005,6.890806754051691,0
225,1200,30.0,11.626208564989676,0
226,1200,30.0,10.244021375729908,0
227,1200,30.0,11.279901871809523,0
228,1200,30.0,12.04469694023582,0
229,46,1.1500000000000001,0.0,1
230,1200,30.0,10.421637266467501,0
231,1200,30.0,14.974554486307872,0
232,1200,30.0,12.254778315354276,0
233,1200,30.0,16.46486848418845,0
234,1200,30.0,12.292605904852472,0
235,1200,30.0,11.929820455761279,0
236,1200,30.0,10.909574274710417,0
237,1200,30.0,11.353939267129235,0
238,1200,30.0,11.701853568750355,0
239,1200,30.0,10.747207770478465,0
240,1200,30.0,12.17060957945453,0
241,1200,30.0,11.63216043080034,0
242,1200,30.0,12.309058171662029,0
243,1200,30.0,12.512832477990056,0
244,1200,30.0,12.913358767470998,0
245,1200,30.0,12.607577042901967,0
246,1200,30.0,11.283023729293072,0
247,1200,30.0,11.923437884170779,0
248,1200,30.0,14.345514216474752,0
249,1200,30.0,11.560063623003598,0
250,1200,30.0,11.51961583808343,0
251,917,22.925,10.392664985991264,0
252,1200,30.0,11.319489624835883,0
253,1200,30.0,14.3502391607327,0
254,1200,30.0,12.383799315892414,0
255,1200,30.0,12.100449181636012,0
256,1200,30.0,11.388266128461604,0
257,1,0.025,0.0,1
258,1200,30.0,10.730103433630687,0
259,1200,30.0,11.117887475271493,0
260,1200,30.0,11.66682241891652,0
261,1200,30.0,10.774717478941882,0
262,1200,30.0,10.995760690412821,0
263,1200,30.0,12.008530218416066,0
264,1200,30.0,13.324269246049665,0
265,1200,30.0,13.67143354032458,0
266,1200,30.0,9.813871149391176,0
267,1200,30.0,14.238758294647848,0
268,1200,30.0,10.727692330170955,0
269,1200,30.0,11.902276763489732,0
270,1200,30.0,10.221430683483904,0
271,1200,30.0,10.977625929737519,0
272,1200,30.0,12.240626844657296,0
273,1200,30.0,13.570919423773864,0
274,1200,30.0,11.228980788635006,0
275,1200,30.0,12.129349309349815,0
276,1200,30.0,10.979926966711437,0
