,Episode Length,Episode Length (seconds),Cumulative Pairwise Action Distance
0,400,10.0,6.554930377864244
1,1200,30.0,13.859443726253984
2,1200,30.0,12.179907175056861
3,1200,30.0,13.633513244656719
4,94,2.35,4.1090910479326075
5,1200,30.0,18.36457283017542
6,1200,30.0,14.979816495685064
7,1200,30.0,16.94482822182505
8,133,3.325,4.21798154958308
9,1200,30.0,14.437054967466807
10,1200,30.0,15.54983394607904
11,1200,30.0,16.259821004426193
12,1200,30.0,17.58339198117329
13,229,5.7250000000000005,5.552660240206788
14,1200,30.0,20.52654604954417
15,1200,30.0,16.958115088732832
16,1200,30.0,13.49632726816734
17,1200,30.0,19.051533670130784
18,285,7.125,8.722787161699502
19,136,3.4000000000000004,3.2587114730003743
20,1200,30.0,17.604907761743636
21,1200,30.0,11.69705267840177
22,684,17.1,11.30347463943564
23,1200,30.0,17.436090960750718
24,134,3.35,4.291927465184951
25,1200,30.0,14.72478187660682
26,1200,30.0,14.43087124069588
27,1200,30.0,17.871364462234613
28,1200,30.0,12.888552258048067
29,457,11.425,9.680561882816024
30,1200,30.0,13.513278642133061
31,1200,30.0,17.39867273744417
32,1200,30.0,12.212049682583478
33,1200,30.0,14.879798333400164
34,1200,30.0,15.968128703848818
35,1200,30.0,13.441595926812486
36,1200,30.0,15.371400310526026
37,186,4.65,4.869199033564119
38,1200,30.0,17.611368073542042
39,1200,30.0,14.385977231303745
40,1200,30.0,17.160938141824715
41,1200,30.0,12.277951917540705
42,1200,30.0,17.70374573456408
43,1200,30.0,17.28744337489044
44,1200,30.0,14.585322864397249
45,136,3.4000000000000004,3.3078101911682425
46,164,4.1000000000000005,4.684714854537047
47,1200,30.0,21.616114574861584
48,116,2.9000000000000004,5.166743422191816
49,1200,30.0,15.820325135495079
50,1200,30.0,15.567944386523239
51,1200,30.0,16.55231149359709
52,1200,30.0,9.1834528233062
53,1200,30.0,14.746912905733314
54,153,3.825,4.963397175978807
55,1200,30.0,13.711274855004024
56,1200,30.0,14.772213553657057
57,364,9.1,7.371536850668363
58,148,3.7,5.485039927507057
59,1200,30.0,13.481369235974508
60,1200,30.0,11.437019718337424
61,137,3.4250000000000003,6.502871540671774
62,1200,30.0,16.535521550134195
63,1200,30.0,15.710464425797225
64,1200,30.0,16.827600602641873
65,1200,30.0,17.374534846543245
66,256,6.4,6.629967514876164
67,1200,30.0,13.54919630831976
68,1200,30.0,7.62412198943307
69,231,5.775,5.366426506273316
70,109,2.725,5.149809946139373
71,1200,30.0,12.857535825993722
72,1200,30.0,20.8548185469367
73,1200,30.0,16.488720546814026
74,1200,30.0,15.786068640416183
75,1200,30.0,15.585310024644267
76,1200,30.0,18.646937072367177
77,1200,30.0,12.586861455305385
78,1200,30.0,6.570994717485735
79,173,4.325,5.8864642095598745
80,1200,30.0,14.741980566833245
81,75,1.875,3.2870340722041047
82,1200,30.0,14.33910673025212
83,128,3.2,3.6791219967857347
84,1200,30.0,15.504531676825563
85,1200,30.0,14.163083488772758
86,1200,30.0,10.82609008098298
87,1200,30.0,17.407722686647627
88,316,7.9,8.912744689964196
89,1200,30.0,14.341271415586268
90,96,2.4000000000000004,5.157177523380395
91,111,2.7750000000000004,4.662270310268288
92,1200,30.0,8.827601803601679
93,190,4.75,5.510359032109296
94,1200,30.0,11.856833999255421
95,1200,30.0,19.72885214245471
96,1200,30.0,18.00819173083879
97,1200,30.0,16.030026074715643
98,1200,30.0,13.905138190919006
99,1200,30.0,13.247495108626756
100,1200,30.0,17.677456321736155
101,1200,30.0,13.970364017909574
102,325,8.125,7.725047543738009
103,265,6.625,9.219412064512301
104,1200,30.0,13.432133438505602
105,1200,30.0,15.32868864142266
106,1200,30.0,21.24592358941796
107,149,3.725,5.700185215724637
108,1200,30.0,13.403429353116092
109,151,3.7750000000000004,5.478376218180479
110,126,3.1500000000000004,6.0382417409667815
111,1200,30.0,17.951630367713953
112,1200,30.0,13.903237727275334
113,1200,30.0,17.86615234185795
114,1200,30.0,15.812751930702571
115,1200,30.0,14.366786229014457
116,247,6.175000000000001,4.66403713410096
117,1200,30.0,10.13450863347261
118,1200,30.0,18.471095997169233
119,1200,30.0,14.571742360934396
120,1200,30.0,17.96151211740395
121,1200,30.0,17.479715744743167
122,1200,30.0,15.678388512825386
123,1200,30.0,15.311668116984489
124,190,4.75,3.2464380911533848
125,1200,30.0,17.57872649255576
126,698,17.45,14.059845775540275
127,1200,30.0,12.30826981538924
128,1200,30.0,15.124873994146952
129,1200,30.0,14.708475306277967
130,1200,30.0,10.570494755586186
131,165,4.125,3.192672290964344
132,95,2.375,3.591750665922929
133,1200,30.0,16.889428827855962
134,1200,30.0,18.387084772606066
135,1200,30.0,19.771091004401097
136,1200,30.0,13.441507346814992
137,1200,30.0,13.994728199004927
138,1200,30.0,16.90640323101364
139,1200,30.0,16.711037243564558
140,256,6.4,4.411789259863318
141,729,18.225,10.673713561677342
142,1200,30.0,16.081885317809206
143,1200,30.0,12.174014588235213
144,106,2.6500000000000004,2.5283608534200455
145,1200,30.0,14.004094217015941
146,302,7.550000000000001,6.833166959704921
147,203,5.075,6.876582659518358
148,1200,30.0,12.216562663232642
149,1200,30.0,15.04756542663067
150,1200,30.0,17.811063394503208
151,1200,30.0,8.230993309387475
152,1200,30.0,15.955384313761844
153,1200,30.0,17.501115849966233
154,1200,30.0,18.663011252540723
155,1200,30.0,10.815162901770085
156,1200,30.0,15.220771241921538
157,1200,30.0,8.576837974223174
158,1200,30.0,16.85458075096796
159,198,4.95,6.881718945608193
160,1200,30.0,16.671664124349277
161,1200,30.0,18.78456406491275
162,142,3.5500000000000003,4.156922709948522
163,1200,30.0,16.063720493198065
164,1200,30.0,14.076394873252376
165,1200,30.0,7.416790692912376
166,1200,30.0,17.407194398981204
167,109,2.725,3.6151034121345385
168,1200,30.0,16.637009174978246
169,1200,30.0,11.2650666719367
170,1200,30.0,15.654735135079463
171,1200,30.0,18.72933041026033
172,1200,30.0,11.63625331221523
173,1200,30.0,15.028549868695524
174,1200,30.0,13.245850994064707
175,1200,30.0,15.378145599972633
176,1200,30.0,14.656707966354695
177,1200,30.0,19.321198408825552
178,1200,30.0,11.075910892539161
179,390,9.75,8.772283064171067
180,1200,30.0,19.550197865003334
181,360,9.0,6.967786879179804
182,1200,30.0,19.262149644333956
183,1200,30.0,15.618248727495336
184,1200,30.0,12.080765403793059
185,1200,30.0,13.02782064179728
186,1200,30.0,16.091186644195123
187,1200,30.0,16.82020945752503
188,1162,29.05,17.351916264226773
189,1200,30.0,15.17063897812524
190,228,5.7,6.563072840954012
191,1200,30.0,17.408275419796507
192,210,5.25,5.571584074941005
193,1200,30.0,16.81852558294792
194,277,6.925000000000001,9.441594651037976
195,1200,30.0,12.375329700724816
196,1200,30.0,15.155882508330784
197,1200,30.0,9.575029809101443
198,1200,30.0,17.54808916280079
199,1200,30.0,12.611200841004527
200,1200,30.0,16.906553430071476
201,1200,30.0,15.555076838692912
202,1200,30.0,16.6801341802097
203,1200,30.0,13.420742696496017
204,1200,30.0,11.846585436790885
205,1200,30.0,22.82291184540899
206,130,3.25,4.48973093777238
207,1200,30.0,17.390477147476904
208,1200,30.0,11.609226797615626
209,1200,30.0,12.035099510121453
210,1200,30.0,16.999620234536128
211,1200,30.0,17.261417716337572
212,1200,30.0,15.622265915436705
213,178,4.45,5.052293683715696
214,1200,30.0,18.33533270997764
215,1200,30.0,12.991529160587465
216,1200,30.0,17.255067707442393
217,1200,30.0,14.51067295338272
218,1200,30.0,14.149035434290907
219,1200,30.0,16.03137945770141
220,1200,30.0,12.115676449823033
221,206,5.15,7.169564473026302
222,89,2.225,3.707739001807983
223,1200,30.0,14.950434423076072
224,1200,30.0,14.151052370805255
225,1200,30.0,17.20998781058739
226,1200,30.0,11.515973091154171
227,1200,30.0,13.796944087602252
228,1200,30.0,11.46638936733744
229,1200,30.0,18.466820230553218
230,1200,30.0,10.764663522261646
231,1200,30.0,11.777407442371885
232,1200,30.0,12.189157613943102
233,127,3.1750000000000003,3.302080902564237
234,193,4.825,5.579380302655141
235,1200,30.0,14.187527384658173
236,1200,30.0,16.33283040171886
237,1200,30.0,8.90953073386997
238,1200,30.0,15.18719602611358
239,1200,30.0,19.79485250148759
240,357,8.925,9.632053434130734
241,141,3.5250000000000004,4.795809664343689
242,1200,30.0,11.85479540151406
243,172,4.3,3.077576259220238
244,174,4.3500000000000005,6.350182330139984
245,136,3.4000000000000004,4.66904017848616
246,1200,30.0,14.81371220209154
247,265,6.625,10.20840726034347
248,1200,30.0,13.441098543510266
249,1200,30.0,8.95022191997615
250,671,16.775000000000002,11.520494934016385
251,1200,30.0,16.27520715635373
252,1200,30.0,12.144565226428798
253,1200,30.0,13.39814113148166
254,147,3.6750000000000003,4.528356814741178
255,1200,30.0,8.335983895275914
256,240,6.0,6.271486365154961
257,1200,30.0,15.033439186562493
258,1200,30.0,19.294814639003
259,1200,30.0,12.147504588747434
260,1200,30.0,14.856097597260609
261,250,6.25,8.943123765774422
262,1200,30.0,13.221110555184877
263,1200,30.0,13.566666730148476
264,1200,30.0,17.214541036839638
265,347,8.675,7.017487626582916
266,129,3.225,3.8221585998501677
267,1200,30.0,18.89188342859959
268,1200,30.0,18.137845961108606
269,1200,30.0,17.022445681865374
270,1200,30.0,12.44932082204604
271,1200,30.0,14.160702415292842
272,760,19.0,11.932062447450381
273,1200,30.0,13.382342403545877
274,176,4.4,4.245578777760508
275,264,6.6000000000000005,6.394896005391431
276,1200,30.0,14.56460164083037
277,384,9.600000000000001,7.141164124525678
278,1200,30.0,14.953881247217499
279,1200,30.0,14.000422523713416
280,325,8.125,8.71609684310707
281,1200,30.0,18.744429092308614
282,1200,30.0,14.847855610415586
283,1200,30.0,21.121994478791226
284,153,3.825,5.0010685772022665
285,1200,30.0,12.687568830785805
286,138,3.45,4.1740923652268105
287,1200,30.0,15.175710467644894
288,420,10.5,7.07859874760385
289,232,5.800000000000001,5.973400357635866
290,1200,30.0,19.36504428170753
291,127,3.1750000000000003,3.3447106028544757
292,130,3.25,6.08951866598346
293,1200,30.0,15.78572420083259
294,1200,30.0,11.568555504169947
295,1200,30.0,10.829072680923371
296,1200,30.0,13.8895402058857
297,1200,30.0,21.612159731109486
298,102,2.5500000000000003,2.710809985019965
