,Episode Length,Episode Length (seconds),Cumulative Pairwise Action Distance
160,166,4.15,8.320316178952417
161,147,3.6750000000000003,5.834434911555772
162,150,3.75,5.76798260808624
163,139,3.475,7.678388719655598
164,121,3.0250000000000004,5.1238094497144635
165,101,2.5250000000000004,2.9393361266891036
166,145,3.625,6.98917411852079
167,156,3.9000000000000004,7.206925094500595
168,122,3.0500000000000003,4.155759570218951
169,100,2.5,4.7443585790988285
170,139,3.475,5.7417227823658115
171,124,3.1,5.945329618959492
172,132,3.3000000000000003,7.513751176161578
173,191,4.775,9.096340291982134
174,125,3.125,4.926938367690181
175,144,3.6,8.70443241571884
176,92,2.3000000000000003,3.257322555880306
177,141,3.5250000000000004,5.76914639129814
178,91,2.275,2.1172217905903126
179,159,3.975,9.499211740789397
180,82,2.0500000000000003,2.2537644496078153
181,134,3.35,8.542935801933675
182,111,2.7750000000000004,4.243055512066116
183,129,3.225,7.602971771511813
184,118,2.95,5.356890893362916
185,152,3.8000000000000003,8.450882879314117
186,111,2.7750000000000004,5.359411938704457
187,129,3.225,7.181412481264047
188,151,3.7750000000000004,8.51967482761059
189,170,4.25,13.14977954096583
190,95,2.375,1.4977146943200854
191,98,2.45,3.6290358161175043
192,110,2.75,2.683944455824264
193,110,2.75,6.032138146269925
194,144,3.6,7.5692199128746065
195,65,1.625,4.172671041829019
196,139,3.475,6.290036288188411
197,175,4.375,6.150911044020711
198,106,2.6500000000000004,3.283807748097971
199,129,3.225,4.481208847902046
200,83,2.075,3.5769295851466714
201,144,3.6,8.506166090463463
202,158,3.95,6.915581945850709
203,155,3.875,11.930450806074605
204,97,2.4250000000000003,2.4547093757891565
205,94,2.35,5.937201811436639
206,208,5.2,8.55532949532813
207,114,2.85,4.863687611371934
208,99,2.475,1.4565694981809394
209,136,3.4000000000000004,7.10146205102832
210,118,2.95,5.853890264040534
211,123,3.075,5.283481084359301
212,89,2.225,2.408471453605511
213,115,2.875,3.173440266367899
214,93,2.325,3.2637956592198476
215,86,2.15,1.2807990137112173
216,109,2.725,4.415627635397246
217,164,4.1000000000000005,9.383188788266123
218,102,2.5500000000000003,3.905215582562014
219,146,3.6500000000000004,5.549455317014826
220,147,3.6750000000000003,7.629095445411677
221,133,3.325,5.901540117882746
222,111,2.7750000000000004,7.517355943919121
223,187,4.675,9.04605677652233
224,140,3.5,8.032890999404806
225,124,3.1,7.780507481867529
226,114,2.85,5.714591351505207
227,138,3.45,8.136264040990131
228,155,3.875,10.595076139774317
229,144,3.6,6.777181517867398
230,108,2.7,3.2780745607936135
231,149,3.725,6.154582931407434
232,252,6.300000000000001,9.23603509859569
233,150,3.75,6.433351769442848
234,1200,30.0,7.432563709010268
235,66,1.6500000000000001,0.3933352956107322
236,282,7.050000000000001,7.726662329200655
237,152,3.8000000000000003,9.886121780999487
238,129,3.225,7.565892686757839
239,91,2.275,2.037399058273178
240,129,3.225,6.560798573727599
241,106,2.6500000000000004,3.7312330969837486
242,108,2.7,4.415253137677286
243,74,1.85,2.2805756054775554
244,68,1.7000000000000002,1.0503615817925072
245,217,5.425000000000001,16.436394830925952
246,165,4.125,8.577797517749815
247,143,3.575,6.578103891173025
248,116,2.9000000000000004,8.594568383424104
249,152,3.8000000000000003,13.025590765142024
250,126,3.1500000000000004,4.969693595054671
251,125,3.125,5.80411512626321
252,136,3.4000000000000004,6.329945515524254
253,116,2.9000000000000004,6.0299736696534945
254,157,3.9250000000000003,11.415994008980611
255,166,4.15,7.656593739993143
256,106,2.6500000000000004,5.0826486705706095
257,152,3.8000000000000003,10.597276683027584
258,126,3.1500000000000004,4.493612275804151
259,147,3.6750000000000003,8.967327789314153
260,79,1.975,3.020697037642922
261,115,2.875,3.157629511645713
262,69,1.725,0.4566321819683691
263,172,4.3,9.694767374288555
264,144,3.6,6.594589689034048
265,161,4.025,8.665610383754185
266,105,2.625,5.545317771781614
267,174,4.3500000000000005,13.350373813603861
268,120,3.0,3.802673332017737
269,136,3.4000000000000004,5.168396441195982
270,82,2.0500000000000003,2.450400576402749
271,82,2.0500000000000003,1.3593181286510982
272,122,3.0500000000000003,6.701945468073908
273,140,3.5,3.8462584668386177
274,88,2.2,2.5947359149672002
275,113,2.825,3.065612972496787
276,86,2.15,1.8918797547565713
277,194,4.8500000000000005,10.216466916363194
278,110,2.75,3.1962341428382923
279,126,3.1500000000000004,6.052417011446681
280,101,2.5250000000000004,6.331394010590155
281,175,4.375,8.58070671493574
282,162,4.05,13.910076014764401
283,43,1.075,0.5509485281465158
284,141,3.5250000000000004,8.478490343723845
285,92,2.3000000000000003,3.7108082769438746
286,125,3.125,5.028547882218563
287,147,3.6750000000000003,7.4286331970900985
288,177,4.425,8.39804374147407
289,143,3.575,5.085977467574301
290,131,3.2750000000000004,3.981553595560648
291,119,2.975,3.5511508337404747
292,162,4.05,7.299743769492348
293,172,4.3,13.641506611070193
294,134,3.35,5.911445658253454
295,163,4.075,11.738713025691569
296,256,6.4,10.018860866109042
297,137,3.4250000000000003,4.339365540549482
298,96,2.4000000000000004,2.7106361947172117
299,70,1.75,0.5882693861887928
300,153,3.825,5.122488415805721
301,98,2.45,4.2989844174784055
302,146,3.6500000000000004,5.037056574801859
303,142,3.5500000000000003,6.572936254757535
304,184,4.6000000000000005,8.02422319309522
305,199,4.9750000000000005,11.186572860129969
306,102,2.5500000000000003,2.9043340248686076
307,122,3.0500000000000003,6.958232495757054
308,129,3.225,6.288241922709899
309,120,3.0,4.236668057639401
310,90,2.25,4.41066436505712
311,116,2.9000000000000004,4.675004679908521
312,61,1.5250000000000001,0.7611157475303544
313,131,3.2750000000000004,5.951225764869063
314,138,3.45,5.633714764603213
315,98,2.45,3.2825979089375354
316,130,3.25,6.611770954153825
317,165,4.125,9.742389422191698
318,115,2.875,3.009327655559374
319,187,4.675,7.837178887404138
320,161,4.025,8.290855559984665
321,138,3.45,6.4845977672257
322,90,2.25,6.086057010247902
323,171,4.275,8.010092620031944
324,243,6.075,6.497067450825339
325,67,1.675,0.8360045717900008
326,199,4.9750000000000005,7.406408817587235
327,67,1.675,1.6599044891152075
328,72,1.8,0.9496143491308561
329,55,1.375,0.38062025113228676
330,98,2.45,3.4741378895763053
331,150,3.75,9.481410011007753
332,136,3.4000000000000004,6.1198248757367715
333,154,3.85,5.733161977547822
334,148,3.7,12.072798033201092
335,161,4.025,8.946815776796607
336,99,2.475,3.8585806269452676
337,121,3.0250000000000004,6.977095581391923
338,181,4.525,9.238173009753478
339,159,3.975,7.105046394964817
340,73,1.8250000000000002,0.9814596500063716
341,83,2.075,6.370125624286733
342,130,3.25,4.956518452252135
343,89,2.225,5.271557877540173
344,105,2.625,5.381516137691834
345,114,2.85,3.3877231753504407
346,88,2.2,2.1294703840209954
347,147,3.6750000000000003,8.093575195982208
348,108,2.7,3.3946799147618236
349,86,2.15,3.0846460865106415
350,96,2.4000000000000004,3.076046083549224
351,152,3.8000000000000003,4.843416331395618
352,162,4.05,14.725061029187815
353,112,2.8000000000000003,2.4064062905717387
354,134,3.35,7.47036955508554
355,130,3.25,5.7085913481894535
356,142,3.5500000000000003,9.24175059012573
357,85,2.125,2.242702705796693
358,191,4.775,12.69799348807086
359,114,2.85,4.889342177991532
360,91,2.275,2.940813917251216
361,157,3.9250000000000003,6.124863432717045
362,141,3.5250000000000004,6.42629617424443
363,103,2.575,3.4520690930237055
364,118,2.95,6.469371214680699
365,79,1.975,5.4147190193849575
366,137,3.4250000000000003,9.099213150644475
367,143,3.575,5.615645455803971
368,97,2.4250000000000003,3.2885410923881175
369,113,2.825,4.413309754852333
370,205,5.125,10.779522176666347
371,106,2.6500000000000004,5.421234833668453
372,92,2.3000000000000003,4.571924926553447
373,133,3.325,6.262372537461105
374,156,3.9000000000000004,10.632766461866794
375,153,3.825,10.042834793554952
376,116,2.9000000000000004,5.1933336059758695
377,68,1.7000000000000002,0.6160414437620585
378,147,3.6750000000000003,5.927511247937041
379,121,3.0250000000000004,6.263732201205059
380,126,3.1500000000000004,6.197684743825537
381,139,3.475,6.508601567668243
382,127,3.1750000000000003,8.638635569410049
383,101,2.5250000000000004,3.946097091844672
384,154,3.85,8.086162652643418
385,156,3.9000000000000004,5.732567407152874
386,154,3.85,9.795120597061585
387,108,2.7,4.766016052675895
388,142,3.5500000000000003,5.503882173050455
389,120,3.0,6.802092926492225
390,135,3.375,7.4995338805440825
391,185,4.625,7.813675047714901
392,89,2.225,4.621883645327833
393,121,3.0250000000000004,5.923546555398189
394,153,3.825,7.244041151363292
395,75,1.875,2.0361978479411533
396,177,4.425,11.75664996842335
397,206,5.15,16.165508951608764
398,207,5.175000000000001,12.995241161304799
399,77,1.925,4.751433326154939
400,152,3.8000000000000003,3.2871093977577837
401,145,3.625,8.364337439507118
402,82,2.0500000000000003,5.053230358608851
403,123,3.075,6.074443410789025
404,158,3.95,10.285626840432826
405,176,4.4,8.952074243833406
406,113,2.825,6.214365735995158
407,146,3.6500000000000004,10.783206066490203
408,133,3.325,7.765352936800763
409,115,2.875,4.209897182508144
410,167,4.175,11.159779773777508
411,82,2.0500000000000003,2.645754675685874
412,100,2.5,5.232683417065601
413,136,3.4000000000000004,5.86725148313943
414,142,3.5500000000000003,6.540711540217877
415,151,3.7750000000000004,11.043069092763167
416,142,3.5500000000000003,10.310623671277563
417,78,1.9500000000000002,2.2036494922296224
418,122,3.0500000000000003,4.582036243801523
419,144,3.6,6.6858026408698565
420,90,2.25,2.912078527353588
421,47,1.175,0.5487178361399768
422,58,1.4500000000000002,0.42503747164069033
423,110,2.75,4.9359420700259955
424,124,3.1,6.34108043626983
425,150,3.75,7.427610728258943
426,84,2.1,1.7389403858555987
427,153,3.825,8.474303248900087
428,181,4.525,12.054355290075774
429,64,1.6,2.136539074266611
430,105,2.625,4.880706357415711
431,185,4.625,6.396688458810198
432,170,4.25,14.270256575310324
433,150,3.75,8.977635850104933
434,87,2.1750000000000003,3.796054919911419
435,157,3.9250000000000003,9.445007895405837
436,176,4.4,9.732337264196667
437,139,3.475,7.615265320725427
438,91,2.275,6.060933385836117
439,190,4.75,5.0636200858575116
440,127,3.1750000000000003,4.5077830469567255
441,85,2.125,4.526168189775379
442,136,3.4000000000000004,5.424736526285192
443,187,4.675,9.392117495077965
444,58,1.4500000000000002,1.0187951274892237
445,94,2.35,4.2934846995116525
446,113,2.825,3.83193092641949
447,116,2.9000000000000004,5.816961558182665
448,159,3.975,9.528616381123038
449,78,1.9500000000000002,1.0514341451174227
450,86,2.15,3.281458641759019
451,97,2.4250000000000003,3.2135765845970177
452,115,2.875,5.343736755579306
453,140,3.5,5.172983765275113
454,131,3.2750000000000004,5.895556800996261
455,89,2.225,3.4513255431403045
456,173,4.325,4.947888667939285
457,87,2.1750000000000003,3.2082962693491583
458,67,1.675,1.0271145695346489
459,105,2.625,4.037757592637881
460,130,3.25,5.040727834870777
461,147,3.6750000000000003,6.030447003373599
462,148,3.7,2.8737840990522896
463,172,4.3,12.199636221838372
464,153,3.825,6.813099582797191
465,63,1.5750000000000002,2.13901437875293
466,171,4.275,7.9830449738734695
467,105,2.625,4.6245592879139705
468,178,4.45,7.3276522240933675
469,143,3.575,6.338154881972138
470,164,4.1000000000000005,9.517165813679547
471,109,2.725,6.763802926769688
472,128,3.2,2.9857192714618015
473,113,2.825,7.988392242734296
474,101,2.5250000000000004,3.149082107457817
475,159,3.975,11.173050865965763
476,113,2.825,6.105656538225248
477,201,5.025,12.820645478305707
478,132,3.3000000000000003,4.468360865648806
479,68,1.7000000000000002,0.7580591396219674
480,124,3.1,5.9077500410607415
481,94,2.35,3.261385980365479
482,126,3.1500000000000004,7.186178822926369
483,169,4.2250000000000005,9.169669628166481
484,103,2.575,3.9969323676430437
485,100,2.5,2.431642746483582
486,168,4.2,8.389903010532768
487,118,2.95,5.187811872747628
488,127,3.1750000000000003,7.734077130236037
489,168,4.2,9.13683818593554
490,125,3.125,5.4686399054536246
491,128,3.2,6.384438868153187
492,138,3.45,4.450944759588311
493,106,2.6500000000000004,2.8566757444413806
494,136,3.4000000000000004,8.225511396113184
495,182,4.55,10.139141935176417
496,84,2.1,6.1317350844033465
497,176,4.4,10.754452505875507
498,160,4.0,9.995451326041701
499,144,3.6,10.150093297520124
500,122,3.0500000000000003,7.818209532324675
501,95,2.375,4.659120593658139
502,94,2.35,5.270040456053951
503,152,3.8000000000000003,9.489434499186729
504,143,3.575,9.377726182732422
505,104,2.6,6.593212871516441
506,164,4.1000000000000005,8.881306170277997
507,172,4.3,8.18083606700166
508,103,2.575,6.1242203401399795
509,76,1.9000000000000001,1.3279040016603727
510,139,3.475,7.861377239602849
511,200,5.0,9.24820606971287
512,148,3.7,7.212284816147434
513,111,2.7750000000000004,2.9645970814753424
514,110,2.75,3.514192027695298
515,100,2.5,4.680916299581631
516,67,1.675,1.3761361965053596
517,116,2.9000000000000004,7.1976127995494945
518,132,3.3000000000000003,3.701391886177716
519,154,3.85,11.28372775826117
520,152,3.8000000000000003,6.949663104582165
521,160,4.0,12.581601107080397
522,161,4.025,10.388704874134746
523,164,4.1000000000000005,6.087128261345374
524,181,4.525,14.29692885427392
525,106,2.6500000000000004,3.672234826894569
526,117,2.9250000000000003,4.256140907953713
527,128,3.2,7.0006800871291635
528,163,4.075,8.492409503169835
529,120,3.0,4.36669129213559
530,117,2.9250000000000003,2.9087054138694386
531,62,1.55,0.8817174103718316
532,140,3.5,9.385520155767734
533,171,4.275,11.351734740477252
534,126,3.1500000000000004,5.815693684192556
535,129,3.225,4.86223154865355
536,92,2.3000000000000003,2.547075518717345
537,145,3.625,6.814616429027189
538,128,3.2,7.6588135169024065
539,115,2.875,5.03516348760461
540,46,1.1500000000000001,0.34275276552399386
541,113,2.825,5.526856065675578
542,71,1.7750000000000001,2.5868008973731946
543,110,2.75,4.8587766237994146
544,178,4.45,12.284844238792038
545,70,1.75,2.0860920176714117
546,310,7.75,7.847026389862007
547,134,3.35,4.662432152020883
548,132,3.3000000000000003,4.879902730723202
549,138,3.45,7.303211222611222
550,82,2.0500000000000003,3.17679969065417
551,151,3.7750000000000004,7.405898573965056
552,138,3.45,9.207568558474069
553,201,5.025,8.325548896274414
554,79,1.975,1.3099000143196535
555,108,2.7,3.5192660250730734
556,178,4.45,8.340924964210814
557,191,4.775,6.292969367756611
558,156,3.9000000000000004,9.767627176168412
559,151,3.7750000000000004,9.760272196423562
560,113,2.825,6.06707092096499
561,83,2.075,0.9831707118053431
562,147,3.6750000000000003,8.136014333136258
563,55,1.375,0.44766604588445064
564,156,3.9000000000000004,6.907487542034378
565,106,2.6500000000000004,4.71071754272331
566,121,3.0250000000000004,4.099392280635323
567,127,3.1750000000000003,8.662088550507335
568,173,4.325,12.155723253167215
569,91,2.275,3.0668087453996544
570,128,3.2,5.215473651690909
571,67,1.675,1.0111314731686314
572,110,2.75,7.7281051799784946
573,287,7.175000000000001,8.412963566023942
574,120,3.0,4.059588450034134
575,155,3.875,9.06425009525113
576,83,2.075,2.220987486135669
577,172,4.3,9.674474456022246
578,139,3.475,9.139316503398112
579,135,3.375,9.31097896612066
580,68,1.7000000000000002,1.7213296859012825
581,157,3.9250000000000003,9.021301488931572
582,168,4.2,10.800109965840633
583,89,2.225,1.8116674437993328
584,161,4.025,8.869680233460366
585,138,3.45,9.181076054679178
586,144,3.6,9.757952977813034
587,122,3.0500000000000003,6.238061682384439
588,93,2.325,4.298805511149558
589,95,2.375,3.5572447366456954
590,142,3.5500000000000003,6.399396779811073
591,149,3.725,5.0571555265286765
592,181,4.525,8.970689048618814
593,142,3.5500000000000003,10.243598370547899
594,130,3.25,5.491239371480599
595,65,1.625,0.7271518306995484
596,91,2.275,5.151251838621564
597,146,3.6500000000000004,7.893170884004671
598,141,3.5250000000000004,7.975521644474538
599,92,2.3000000000000003,2.5142189483115422
600,78,1.9500000000000002,2.8586366520265982
601,93,2.325,3.7987290011810977
602,93,2.325,3.351914546701328
603,119,2.975,4.946731703550087
604,155,3.875,7.757118571814361
605,126,3.1500000000000004,6.135927230471567
606,130,3.25,6.60335979700837
607,75,1.875,1.8963870146097235
608,87,2.1750000000000003,2.7916393187923023
609,84,2.1,1.4030219952467184
610,93,2.325,3.3499442804767314
611,96,2.4000000000000004,3.1673966375126623
612,77,1.925,2.5284216249164664
613,52,1.3,0.7117875718353808
614,131,3.2750000000000004,7.1136915354901875
615,108,2.7,2.955227790237063
616,75,1.875,3.846315007306107
617,175,4.375,11.829499854151289
618,127,3.1750000000000003,3.887052192533269
619,198,4.95,10.77165986806499
620,131,3.2750000000000004,8.268446572985335
621,114,2.85,4.751995367546935
622,65,1.625,0.2841170852234889
623,83,2.075,1.539195285080162
624,135,3.375,7.17840702858457
625,123,3.075,5.734947461596969
626,125,3.125,6.5610952637957975
627,146,3.6500000000000004,6.918156425309967
628,110,2.75,5.67143833013215
629,67,1.675,0.49902901592883253
630,116,2.9000000000000004,6.028115969322618
631,128,3.2,6.671418513817672
632,196,4.9,8.499411078494862
633,85,2.125,2.902018466276634
634,98,2.45,3.2387691488932133
635,64,1.6,4.621410772068458
636,135,3.375,4.7290009271019855
637,104,2.6,5.24813249025538
638,93,2.325,6.44562943384296
639,104,2.6,4.5635147643877225
640,136,3.4000000000000004,8.530036739312546
641,78,1.9500000000000002,4.855789595252118
642,149,3.725,9.312132480187326
643,131,3.2750000000000004,7.229857989791677
644,132,3.3000000000000003,5.659430600777738
645,117,2.9250000000000003,3.7354487867206325
646,128,3.2,3.8181719246180683
647,133,3.325,6.021551242063751
648,151,3.7750000000000004,8.484391540367776
649,92,2.3000000000000003,3.636643565081984
650,118,2.95,5.490500149963667
651,172,4.3,10.269576959047304
652,146,3.6500000000000004,10.239396753006867
653,135,3.375,6.264217885004664
654,192,4.800000000000001,11.510551418859615
655,167,4.175,11.587993356382484
656,101,2.5250000000000004,1.828188494357756
657,150,3.75,8.829050460161264
658,70,1.75,1.7735179291686516
659,96,2.4000000000000004,3.3665058851967475
660,107,2.6750000000000003,2.14935138282923
661,134,3.35,6.634372576719513
662,131,3.2750000000000004,5.216533763437817
663,113,2.825,3.8797809721016474
664,118,2.95,8.167854639205562
665,167,4.175,6.51221233414449
666,137,3.4250000000000003,9.292402049751493
667,112,2.8000000000000003,4.809519461407312
668,99,2.475,3.8312519733886643
669,103,2.575,4.5042556788300425
670,46,1.1500000000000001,0.5184607025092859
671,99,2.475,3.9072745223379597
672,35,0.875,0.23575888412027746
673,150,3.75,8.841782226771628
674,186,4.65,12.713299659860798
675,150,3.75,8.279959557314388
676,125,3.125,6.515760155929759
677,154,3.85,6.497916152772393
678,59,1.475,0.6387454724681392
679,135,3.375,9.529368330901635
680,90,2.25,2.833252159643636
681,208,5.2,3.5814392929373633
682,147,3.6750000000000003,7.482471228609246
683,133,3.325,7.762972567960564
684,170,4.25,7.7058277714436425
685,120,3.0,8.005519121864682
686,98,2.45,5.417715845359871
687,129,3.225,7.303175114204517
688,121,3.0250000000000004,4.9715781350510655
689,121,3.0250000000000004,7.347158540014869
690,115,2.875,5.817902672706135
691,161,4.025,7.014346790230969
692,128,3.2,6.396148089461941
693,57,1.425,0.4859938440898712
694,183,4.575,10.127992332504967
695,166,4.15,5.2596132095589025
696,119,2.975,5.21192861583225
697,151,3.7750000000000004,7.735717003641548
698,112,2.8000000000000003,5.044026288550996
699,152,3.8000000000000003,7.857681163449547
700,109,2.725,5.704437049903076
701,156,3.9000000000000004,8.930424288539989
702,45,1.125,0.26560503340110514
703,88,2.2,3.2047363722930733
704,125,3.125,5.324231476942698
705,116,2.9000000000000004,4.994368124103405
706,100,2.5,4.960026210327093
707,98,2.45,2.28136903180757
708,149,3.725,8.920425749846759
709,42,1.05,0.6906448229917592
710,172,4.3,7.3031667364558475
711,114,2.85,5.71289846077496
712,153,3.825,8.541598087827662
713,108,2.7,5.219368834385656
714,171,4.275,11.11479882326636
715,100,2.5,5.521554010698476
716,94,2.35,5.401720397993345
717,108,2.7,5.839990655319632
