,Episode Length,Episode Length (seconds),Cumulative Pairwise Action Distance,Hit Obstacle
0,1200,30.0,11.520494148070162,0
1,1200,30.0,10.78646564102126,0
2,368,9.200000000000001,6.078779386727637,0
3,1200,30.0,12.81724990929241,0
4,1200,30.0,15.172046761591135,0
5,56,1.4000000000000001,0.0,1
6,1,0.025,0.0,1
7,90,2.25,0.0,1
8,1200,30.0,16.55855606576052,0
9,1200,30.0,14.077553824669284,0
10,1200,30.0,16.06961076356945,0
11,1200,30.0,11.989541967119,0
12,74,1.85,0.0,1
13,1200,30.0,13.686226522865013,0
14,1200,30.0,10.431260127245242,0
15,221,5.525,9.363557065637227,0
16,766,19.150000000000002,11.541465022567973,0
17,1200,30.0,14.050587296970422,0
18,1200,30.0,12.250950810488712,0
19,1200,30.0,14.877985137612843,0
20,1200,30.0,10.970101733814483,0
21,1200,30.0,13.717788942771548,0
22,1200,30.0,12.658188243884345,0
23,1200,30.0,18.09555739670076,0
24,1200,30.0,15.311828260635382,0
25,1200,30.0,15.260752772086834,0
26,1200,30.0,11.320884301066528,0
27,1200,30.0,14.205407555407179,0
28,1200,30.0,13.534917534971902,0
29,1200,30.0,15.275887225085377,0
30,53,1.3250000000000002,0.0,1
31,1200,30.0,12.843382379637731,0
32,55,1.375,0.0,1
33,1200,30.0,12.475913624763391,0
34,52,1.3,0.0,1
35,1200,30.0,11.183141678208226,0
36,1200,30.0,13.32883831034007,0
37,25,0.625,0.0,1
38,1200,30.0,10.836134180028852,0
39,78,1.9500000000000002,0.0,1
40,735,18.375,0.0,1
41,1200,30.0,9.176313752594973,0
42,209,5.2250000000000005,0.0,1
43,1200,30.0,10.982867479174649,0
44,218,5.45,9.0810342793871,0
45,1200,30.0,16.23985463787857,0
46,1200,30.0,13.343748771233326,0
47,1200,30.0,14.607878902413875,0
48,1200,30.0,16.089271287212725,0
49,1200,30.0,12.255519577787679,0
50,290,7.25,6.012113739233837,0
51,149,3.725,4.329524132617199,0
52,1200,30.0,15.839967182870646,0
53,1200,30.0,14.710022405978686,0
54,1200,30.0,14.914127282180699,0
55,1200,30.0,16.701559648653696,0
56,1200,30.0,11.72093135192141,0
57,1200,30.0,13.994029743522699,0
58,1200,30.0,12.084431093498692,0
59,1200,30.0,9.663150323884295,0
60,67,1.675,0.0,1
61,1200,30.0,13.03593561626071,0
62,1200,30.0,10.382788525080619,0
63,332,8.3,10.213326089513599,0
64,1200,30.0,10.259932473215782,0
65,1200,30.0,12.315075527982293,0
66,1200,30.0,12.335605327299387,0
67,1164,29.1,10.251192686359074,0
68,1200,30.0,12.706943077620641,0
69,1200,30.0,17.749458121244327,0
70,1200,30.0,14.491128668075563,0
71,1200,30.0,10.224863968143437,0
72,1200,30.0,14.259715675446369,0
73,1200,30.0,12.06407904982063,0
74,1200,30.0,11.186249228595308,0
75,587,14.675,8.919188903379613,0
76,1200,30.0,9.351165635660761,0
77,1200,30.0,11.564554883295736,0
78,1200,30.0,11.933850278344316,0
79,32,0.8,0.0,1
80,1200,30.0,14.435841236210457,0
81,45,1.125,0.0,1
82,691,17.275000000000002,10.297041963364219,0
83,1,0.025,0.0,1
84,402,10.05,9.90845610960012,0
85,1200,30.0,11.948706959298256,0
86,42,1.05,0.0,1
87,1200,30.0,19.125534529489514,0
88,83,2.075,0.0,1
89,1200,30.0,11.456317356065718,0
90,1200,30.0,14.273830545871434,0
91,254,6.3500000000000005,6.845927911580449,0
92,1200,30.0,11.670569910648975,0
93,1200,30.0,18.030466071876457,0
94,1200,30.0,20.815287688250407,0
95,1128,28.200000000000003,13.271485354148084,0
96,66,1.6500000000000001,0.0,1
97,1200,30.0,10.252918985117542,0
98,1200,30.0,15.125113497572569,0
99,1200,30.0,16.410700342839235,0
100,1200,30.0,10.332422132074667,0
101,1200,30.0,16.152561312723744,0
102,1200,30.0,11.229796588656615,0
103,1200,30.0,10.703473451037944,0
104,473,11.825000000000001,6.779253581119539,0
105,1200,30.0,12.115822268863829,0
106,1,0.025,0.0,1
107,1200,30.0,12.100279709084488,0
108,841,21.025000000000002,17.446226464368475,0
109,1200,30.0,16.66647590392793,0
110,1200,30.0,11.642483259363765,0
111,434,10.850000000000001,8.013680617820517,0
112,1200,30.0,16.608910814835838,0
113,44,1.1,0.0,1
114,1200,30.0,13.676038510414404,0
115,1200,30.0,13.068013994082408,0
116,1200,30.0,13.316251715587057,0
117,1200,30.0,13.840846810432744,0
118,1200,30.0,11.773833419673629,0
119,1200,30.0,11.493041140127247,0
120,316,7.9,7.7358538899793,0
121,1200,30.0,14.778334535262443,0
122,1200,30.0,11.67192167239966,0
123,1200,30.0,17.13751752230926,0
124,1200,30.0,12.219422908580533,0
125,1200,30.0,10.804171927886705,0
126,29,0.7250000000000001,0.0,1
127,1200,30.0,13.497798894947339,0
128,271,6.775,7.613337580077142,0
129,540,13.5,10.69970218821422,0
130,1200,30.0,10.030955535133714,0
131,1200,30.0,9.49907095726403,0
132,1200,30.0,10.4966874630266,0
133,1200,30.0,12.252750678147754,0
134,1200,30.0,10.90689924676058,0
135,188,4.7,4.585267066874592,0
136,1200,30.0,15.208695892054493,0
137,1200,30.0,19.644897904358587,0
138,1200,30.0,13.35976588043259,0
139,1200,30.0,11.10767789826851,0
140,1200,30.0,35.03036580002558,0
141,1200,30.0,14.99221909140738,0
142,1200,30.0,13.722277699220305,0
143,19,0.47500000000000003,0.0,1
144,1200,30.0,17.08831111866095,0
145,1200,30.0,13.327694034027687,0
146,1200,30.0,12.899925733271328,0
147,451,11.275,8.138694213793901,0
148,1200,30.0,12.641728634951916,0
149,1200,30.0,12.576882408949603,0
150,1200,30.0,19.919922446042456,0
151,1200,30.0,11.980922423535917,0
152,1200,30.0,11.920851448081358,0
153,1,0.025,0.0,1
154,1200,30.0,13.410533371073603,0
155,1200,30.0,11.354805303495775,0
156,1200,30.0,11.243123009091242,0
157,310,7.75,8.77343214734119,0
158,1200,30.0,11.709478077783027,0
159,67,1.675,0.0,1
160,38,0.9500000000000001,0.0,1
161,16,0.4,0.0,1
162,332,8.3,9.230570600768472,0
163,244,6.1000000000000005,9.409467558452151,0
164,1200,30.0,12.330671674408299,0
165,1200,30.0,16.782370644687685,0
166,1200,30.0,16.361405153308674,0
167,326,8.15,8.030161059212768,0
168,1200,30.0,12.14912676507224,0
169,46,1.1500000000000001,0.0,1
170,566,14.15,9.271718764305538,0
171,1200,30.0,13.777033765897482,0
172,331,8.275,16.586391387187494,0
173,1200,30.0,11.860580876247294,0
174,90,2.25,0.0,1
175,99,2.475,0.0,1
176,300,7.5,7.861083068905634,0
177,1200,30.0,11.069466422408073,0
178,1200,30.0,12.264778576844723,0
179,1200,30.0,13.266556011831213,0
180,1200,30.0,15.450401404992933,0
181,1200,30.0,12.802509802389066,0
182,1200,30.0,12.965610906832856,0
183,1200,30.0,11.244554761801687,0
184,1200,30.0,12.797534876484484,0
185,193,4.825,4.393975511992324,0
186,1200,30.0,13.903150046777215,0
187,61,1.5250000000000001,0.0,1
188,1200,30.0,11.882756480472436,0
189,1200,30.0,11.246116309289354,0
190,148,3.7,4.450452287778388,0
191,1200,30.0,12.881258388782861,0
192,17,0.42500000000000004,0.0,1
193,1200,30.0,10.244596506128184,0
194,1200,30.0,12.71416849246632,0
195,78,1.9500000000000002,0.0,1
196,1200,30.0,13.67675925887717,0
197,1200,30.0,11.810139855629936,0
198,1200,30.0,12.60054499686746,0
199,1200,30.0,13.193831876871608,0
200,685,17.125,9.720129123554925,0
201,1200,30.0,11.41239685452233,0
202,1200,30.0,12.694724660838522,0
203,1200,30.0,11.951975077053566,0
204,1200,30.0,10.926443090098957,0
205,1200,30.0,11.274521118709481,0
206,23,0.5750000000000001,0.0,1
207,193,4.825,6.755012827053951,0
208,1200,30.0,14.732104031565694,0
209,1200,30.0,10.380059883059298,0
210,149,3.725,4.144097469981676,0
211,1200,30.0,11.515575185765297,0
212,1200,30.0,17.905420575944987,0
213,1200,30.0,15.841983857222315,0
214,261,6.525,8.105742614397444,0
215,1200,30.0,11.079663774081018,0
216,1200,30.0,14.528315016119134,0
217,199,4.9750000000000005,10.310813997155323,0
218,1200,30.0,13.245011084326505,0
219,1200,30.0,12.771296557480259,0
220,1200,30.0,17.55077154863567,0
221,111,2.7750000000000004,0.0,1
222,1200,30.0,14.279630102936324,0
223,1200,30.0,10.786959880367856,0
224,1200,30.0,11.312209828093783,0
225,1200,30.0,13.577419761369157,0
226,1200,30.0,13.155268773445094,0
227,1200,30.0,13.517621631691217,0
228,49,1.225,0.0,1
229,73,1.8250000000000002,0.0,1
230,1200,30.0,14.526290081167282,0
231,1200,30.0,14.560027761218162,0
232,1200,30.0,13.731320348582026,0
233,1200,30.0,13.694739238089292,0
234,1200,30.0,11.688398231118219,0
235,624,15.600000000000001,11.07401763435663,0
236,1200,30.0,13.522533944657559,0
237,1200,30.0,14.172922954103267,0
238,1200,30.0,13.59152795415315,0
239,1,0.025,0.0,1
240,1200,30.0,12.457865124074166,0
241,688,17.2,0.0,1
242,1200,30.0,17.259463313427315,0
243,1200,30.0,15.316332279780573,0
244,53,1.3250000000000002,0.0,1
245,1200,30.0,13.597321469864387,0
246,1200,30.0,13.411782647520187,0
247,1200,30.0,11.34043914922801,0
248,1200,30.0,15.69522600754067,0
249,1200,30.0,11.740177680178812,0
250,1200,30.0,13.995852146654416,0
251,989,24.725,0.0,1
252,1200,30.0,13.29502505947962,0
253,1200,30.0,15.369955775057523,0
254,1200,30.0,10.210805050378687,0
255,1200,30.0,13.745576649598341,0
256,1200,30.0,10.76253936527322,0
257,1200,30.0,11.659438199949918,0
258,181,4.525,4.107260264087341,0
259,78,1.9500000000000002,0.0,1
260,1200,30.0,13.148319156941577,0
261,1200,30.0,13.46361844372878,0
262,1200,30.0,13.537199334360462,0
263,1068,26.700000000000003,12.571495663915062,0
264,1200,30.0,11.735021665818344,0
265,1200,30.0,12.502512415729042,0
266,1200,30.0,13.009631531967926,0
