,Episode Length,Episode Length (seconds),Cumulative Pairwise Action Distance
0,232,5.800000000000001,20.739223545210088
1,344,8.6,18.276974286085515
2,199,4.9750000000000005,13.654069193755547
3,140,3.5,9.500120780867299
4,130,3.25,5.643039819487632
5,168,4.2,11.728548149722608
6,150,3.75,14.371306079685247
7,167,4.175,8.630133694361604
8,279,6.9750000000000005,19.264634893388457
9,198,4.95,14.744362280630877
10,154,3.85,10.960880238622401
11,186,4.65,13.713265322060188
12,119,2.975,14.367991761346454
13,198,4.95,15.208759265205625
14,134,3.35,12.879229888271016
15,216,5.4,15.962537840483025
16,201,5.025,10.32348203399344
17,357,8.925,22.838489522711193
18,154,3.85,10.589225752338995
19,366,9.15,21.05776857992465
20,134,3.35,11.395447694805188
21,265,6.625,18.052590252768688
22,755,18.875,34.50051400229826
23,200,5.0,12.877668376865357
24,104,2.6,10.676080720782396
25,150,3.75,11.07273055979499
26,166,4.15,10.679428174314873
27,198,4.95,14.253959510067531
28,217,5.425000000000001,10.289497055859155
29,200,5.0,13.209830791375712
30,154,3.85,10.264002309995226
31,118,2.95,10.925464836908143
32,172,4.3,9.614121001264264
33,329,8.225,15.869682793927318
34,213,5.325,14.247188606278042
35,55,1.375,10.82859212365129
36,376,9.4,17.67229587250527
37,117,2.9250000000000003,12.72080384392936
38,195,4.875,11.926168462503252
39,117,2.9250000000000003,13.166041401038294
40,90,2.25,6.384999977274873
41,159,3.975,10.13883451371548
42,232,5.800000000000001,16.56790477507005
43,377,9.425,22.215618181301284
44,390,9.75,20.81283409284861
45,249,6.2250000000000005,15.625266532825332
46,437,10.925,25.25211748622436
47,118,2.95,10.345700347800708
48,248,6.2,17.079471546363724
49,182,4.55,12.341222931361902
50,151,3.7750000000000004,11.305127537474652
51,553,13.825000000000001,10.798003412335088
52,248,6.2,16.369094416669107
53,150,3.75,14.37967358443162
54,666,16.650000000000002,28.338438484408
55,129,3.225,11.896807684660347
56,184,4.6000000000000005,12.289773942433737
57,167,4.175,12.820162125706027
58,325,8.125,17.185796067623738
59,279,6.9750000000000005,18.442144954062556
60,295,7.375,16.13903132008601
61,506,12.65,28.055049812142613
62,157,3.9250000000000003,10.719307011862735
63,231,5.775,17.963006226452624
64,120,3.0,14.468655258694643
65,149,3.725,14.455978453991428
66,247,6.175000000000001,14.46370526078681
67,136,3.4000000000000004,6.785663637000063
68,376,9.4,20.33119224248571
69,106,2.6500000000000004,10.771168549814881
70,279,6.9750000000000005,17.050298102128416
71,184,4.6000000000000005,13.99329525914514
72,552,13.8,20.92098192812628
73,152,3.8000000000000003,12.247284559439311
74,263,6.575,18.106631097784746
75,584,14.600000000000001,20.947293771165054
76,219,5.4750000000000005,14.251041247112424
77,120,3.0,11.456243922047104
78,182,4.55,14.268014386785188
79,138,3.45,9.238702425029562
80,183,4.575,12.228572343186228
81,185,4.625,11.957867840399887
82,216,5.4,15.652689361293056
83,206,5.15,10.48337209415428
84,248,6.2,18.293686718834117
85,102,2.5500000000000003,11.022184071813665
86,89,2.225,9.836920473857962
87,122,3.0500000000000003,13.602209323664418
88,188,4.7,8.593967393018795
89,139,3.475,7.383847155551078
90,501,12.525,22.485625716069205
91,327,8.175,19.55596399340114
92,200,5.0,14.371136464951773
93,280,7.0,22.048206749084617
94,49,1.225,4.086185006970584
95,324,8.1,16.667093510369842
96,378,9.450000000000001,16.940760303183808
97,171,4.275,13.036626522529442
98,200,5.0,16.277570768383086
99,118,2.95,13.881140025310243
100,159,3.975,8.55977235515864
101,379,9.475,17.832962877254506
102,261,6.525,12.283383616086642
103,331,8.275,13.883916446028453
104,308,7.7,16.107519894409098
105,234,5.8500000000000005,15.444907172674247
106,186,4.65,14.711760177715794
107,179,4.4750000000000005,13.346639287003118
108,116,2.9000000000000004,10.47425047922492
109,138,3.45,11.632787253497582
110,665,16.625,24.98031315518387
111,152,3.8000000000000003,13.271991297702353
112,215,5.375,15.812399051226432
113,265,6.625,12.751751149245024
114,198,4.95,14.791531395072608
115,106,2.6500000000000004,12.8500058125003
116,164,4.1000000000000005,11.943048290779679
117,137,3.4250000000000003,12.850194097854443
